scope,path,locale,viewport,run,navigation,status,pass,react418,hydrationErrorCount,pageErrorCount,scriptCount,dataNscriptCount,scriptInHeadCount,loaderReady,slotCount,slotPushedCount,slotFailedCount,duplicatePushedCount,h1Count,inputCount,ctaCount,hasCalculatorSignal,horizontalOverflow,firstEntryStatus,bootstrapRequestCount,adRequestCount,failedAdRequestCount
global_hard_load,/tools/cagr-calculator,ko,320,2,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/tools/cagr-calculator,ko,320,3,hard_load,200,true,0,0,0,1,0,1,true,4,4,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,73,18
global_hard_load,/tools/cagr-calculator,ko,320,4,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/tools/cagr-calculator,ko,320,5,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,50,9
global_hard_load,/tools/cagr-calculator,ko,390,1,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,26,0
global_hard_load,/tools/cagr-calculator,ko,390,2,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,29,0
global_hard_load,/tools/cagr-calculator,ko,390,3,hard_load,200,true,0,0,0,1,0,1,true,4,4,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,85,18
global_hard_load,/tools/cagr-calculator,ko,1280,1,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,52,10
global_hard_load,/tools/cagr-calculator,ko,1280,2,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,29,1
global_hard_load,/tools/cagr-calculator,ko,1280,3,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,11,9,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,55,10
global_hard_load,/tools/dca-calculator,ko,320,1,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/tools/dca-calculator,ko,320,2,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,26,0
global_hard_load,/tools/dca-calculator,ko,320,3,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/tools/dca-calculator,ko,320,4,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,27,0
global_hard_load,/tools/dca-calculator,ko,320,5,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,26,0
global_hard_load,/tools/dca-calculator,ko,390,1,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,26,0
global_hard_load,/tools/dca-calculator,ko,390,2,hard_load,200,true,0,0,0,1,0,1,true,4,4,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,110,21
global_hard_load,/tools/dca-calculator,ko,390,3,hard_load,200,true,0,0,0,1,0,1,true,4,4,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,70,20
global_hard_load,/tools/dca-calculator,ko,1280,1,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,50,10
global_hard_load,/tools/dca-calculator,ko,1280,2,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,50,10
global_hard_load,/tools/dca-calculator,ko,1280,3,hard_load,200,true,0,0,0,1,0,1,true,2,2,0,0,1,12,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,29,1
global_hard_load,/tools/dsr-ltv-calculator,ko,320,1,hard_load,200,true,0,0,0,1,0,1,true,9,7,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,55,11
global_hard_load,/tools/dsr-ltv-calculator,ko,320,2,hard_load,200,true,0,0,0,1,0,1,true,10,8,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,90,21
global_hard_load,/tools/dsr-ltv-calculator,ko,320,3,hard_load,200,true,0,0,0,1,0,1,true,10,8,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,81,26
global_hard_load,/tools/dsr-ltv-calculator,ko,320,4,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,33,3
global_hard_load,/tools/dsr-ltv-calculator,ko,320,5,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,31,2
global_hard_load,/tools/dsr-ltv-calculator,ko,390,1,hard_load,200,true,0,0,0,1,0,1,true,10,8,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,78,23
global_hard_load,/tools/dsr-ltv-calculator,ko,390,2,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,54,12
global_hard_load,/tools/dsr-ltv-calculator,ko,390,3,hard_load,200,true,0,0,0,1,0,1,true,10,8,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,80,23
global_hard_load,/tools/dsr-ltv-calculator,ko,1280,1,hard_load,200,true,0,0,0,1,0,1,true,7,5,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,31,0
global_hard_load,/tools/dsr-ltv-calculator,ko,1280,2,hard_load,200,true,0,0,0,1,0,1,true,7,5,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,32,2
global_hard_load,/tools/dsr-ltv-calculator,ko,1280,3,hard_load,200,true,0,0,0,1,0,1,true,7,5,0,0,1,10,20,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,52,12
global_hard_load,/tools/home-buying-budget-calculator,ko,320,1,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,32,2
global_hard_load,/tools/home-buying-budget-calculator,ko,320,2,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,32,2
global_hard_load,/tools/home-buying-budget-calculator,ko,320,3,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,31,2
global_hard_load,/tools/home-buying-budget-calculator,ko,320,4,hard_load,200,true,0,0,0,1,0,1,true,10,8,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,81,23
global_hard_load,/tools/home-buying-budget-calculator,ko,320,5,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,33,2
global_hard_load,/tools/home-buying-budget-calculator,ko,390,1,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,94,13
global_hard_load,/tools/home-buying-budget-calculator,ko,390,2,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,66,13
global_hard_load,/tools/home-buying-budget-calculator,ko,390,3,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,2,32,2
global_hard_load,/tools/home-buying-budget-calculator,ko,1280,1,hard_load,200,true,0,0,0,1,0,1,true,8,6,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,57,12
global_hard_load,/tools/home-buying-budget-calculator,ko,1280,2,hard_load,200,true,0,0,0,1,0,1,true,7,5,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,34,3
global_hard_load,/tools/home-buying-budget-calculator,ko,1280,3,hard_load,200,true,0,0,0,1,0,1,true,7,5,0,0,1,10,15,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,33,2
global_hard_load,/tools/mortgage-loan-calculator,ko,320,1,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,6,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,29,1
global_hard_load,/tools/mortgage-loan-calculator,ko,320,2,hard_load,200,true,0,0,0,1,0,1,true,5,5,0,0,1,6,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,75,21
global_hard_load,/tools/mortgage-loan-calculator,ko,320,3,hard_load,200,true,0,0,0,1,0,1,true,3,3,0,0,1,6,7,true,false,AD_REQUEST_SENT_NO_FILL_OR_FILLED,1,29,1
